method,seed,rollout,step,reward_mean,lat_cost,rate_cost,drop_cost,lambda_lat,lambda_rate,lambda_drop,rho_mean,rho_std,beta_mean,rho_ref_mean,beta_ref_mean,delta_rho_mean,delta_rho_std,delta_beta_mean,delta_beta_std,policy_log_std_mean,loss,steps_train_nominal,steps_train_load,steps_train_edge,steps_train_burst,steps_train_joint
ReferenceResidual-Unconstrained-PPO,0,45,188416,0.18568551540374756,0.0589599609375,0.0005247540539130569,0.0036157523281872272,0.0,0.0,0.0,0.4133125052300256,0.3029842616440976,1.8389819370282061,0.42384573060516506,1.7772060386448831,-0.01053322537513942,0.046776422054455966,0.06177589838332282,0.46196162718739625,-1.1076788902282715,2.3707239866256713,0,0,3416,0,680
ReferenceResidual-Unconstrained-PPO,0,46,192512,0.1969083994626999,0.0633544921875,0.003641657531261444,0.019936852157115936,0.0,0.0,0.0,0.457304671617266,0.3038330269776499,1.6530388628330608,0.46422474207395586,1.5580352643863562,-0.006920070456689815,0.04480696561679058,0.09500359844670468,0.45736867224347355,-1.1036579608917236,2.5824154503643513,0,0,1584,2512,0
ReferenceResidual-Unconstrained-PPO,0,47,196608,0.22021988034248352,0.0400390625,0.0,0.0,0.0,0.0,0.0,0.38801060619205074,0.28544612739672615,1.3413770210697615,0.3876154509208996,1.290835554311006,0.0003951552711511355,0.04634203829323039,0.0505414667587557,0.45949578668250163,-1.097428560256958,1.9492843454703688,1608,0,0,2488,0
ReferenceResidual-Unconstrained-PPO,0,48,200704,0.20532354712486267,0.001220703125,5.186367602050268e-08,0.0,0.0,0.0,0.0,0.3185398041654331,0.25448895631743396,1.2427672836467631,0.3198663172000432,1.1514702540689474,-0.0013265130346101395,0.0479207166556944,0.09129702957781555,0.4608497170791763,-1.0916459560394287,1.394520427333191,3392,0,0,0,704
ReferenceResidual-Unconstrained-PPO,0,49,204800,0.18050870299339294,0.435546875,0.0,0.09745743870735168,0.0,0.0,0.0,0.5658171598091166,0.3013978830052964,2.5777480748271615,0.5680540365693795,2.4886751433675878,-0.002236876760262699,0.03991739211535264,0.08907293145957397,0.4722929004159361,-1.0904426574707031,2.84718691855669,0,0,0,0,4096
ReferenceResidual-Unconstrained-PPO,0,50,208896,0.2377270758152008,0.0006103515625,0.0,0.0030576486606150866,0.0,0.0,0.0,0.28299165901709367,0.24394345551027607,1.15594425682281,0.2786982829655628,1.1357424678199513,0.00429337605153085,0.04663883542287223,0.02020178900285869,0.451272651961725,-1.092360258102417,1.8596390157938003,0,3896,0,0,200
ReferenceResidual-Unconstrained-PPO,0,51,212992,0.21557024121284485,0.06610107421875,0.0,0.0,0.0,0.0,0.0,0.3637279804491548,0.2737908555660286,1.3485678504543084,0.36678583058693076,1.3185449651491101,-0.0030578501377759647,0.04629404282432691,0.030022885305198165,0.46839150963758636,-1.0972800254821777,1.9471305392682552,0,1104,0,2992,0
ReferenceResidual-Unconstrained-PPO,0,52,217088,0.2111636996269226,0.16497802734375,0.0013195928186178207,0.0,0.0,0.0,0.0,0.474408309388009,0.30461043766189083,1.644182463414896,0.47802629897755716,1.609516955229377,-0.003617989589548157,0.04451345773832062,0.03466550818551892,0.4647420018657171,-1.0934175252914429,5.184209045767784,2088,0,0,2008,0
ReferenceResidual-Unconstrained-PPO,0,53,221184,0.19378693401813507,0.0,0.0,0.0,0.0,0.0,0.0,0.29764582770262943,0.24659119456440126,1.364738198247471,0.29929522820238796,1.3141962267167702,-0.0016494004997585489,0.047545482987050774,0.0505419715307008,0.46254725392523915,-1.097851037979126,1.4627246187999845,2912,0,1184,0,0
ReferenceResidual-Unconstrained-PPO,0,54,225280,0.1797143965959549,0.0556640625,0.0021482885349541903,0.017703143879771233,0.0,0.0,0.0,0.4103159254945563,0.3072015519022731,2.1931800285049587,0.4159540225135723,2.1640824673144796,-0.005638097019015933,0.04399403670791609,0.029097561190478835,0.4671116424882303,-1.1035137176513672,1.9204448465257884,0,0,3816,0,280
ReferenceResidual-Unconstrained-PPO,0,55,229376,0.18983210623264313,0.276611328125,0.0007008754182606936,0.056396275758743286,0.0,0.0,0.0,0.5252100882891602,0.3101422116606471,2.1758930930042837,0.5296293241147314,2.1616465631376216,-0.00441923582557117,0.04005371594762003,0.014246529866662014,0.4653535910728982,-1.1045584678649902,2.240901542454958,0,0,0,0,4096
ReferenceResidual-Unconstrained-PPO,0,56,233472,0.18092352151870728,0.1392822265625,0.0033203044440597296,0.06767859309911728,0.0,0.0,0.0,0.4012131109364385,0.30515618329979427,1.931193384262171,0.4036041750549305,1.8850282629193265,-0.0023910641184919285,0.04323784053841525,0.04616512134284431,0.4687854947777972,-1.1004714965820312,3.2645583882927895,0,0,3472,0,624
ReferenceResidual-Unconstrained-PPO,0,57,237568,0.19222912192344666,0.076904296875,3.744410423678346e-05,0.0,0.0,0.0,0.0,0.4077225234827077,0.3019302565479855,1.4627010153962752,0.4116954440859494,1.3987260883028632,-0.00397292060324162,0.04555867650712679,0.06397492709341211,0.4568013238694122,-1.1031725406646729,3.66905612796545,2568,0,1528,0,0
ReferenceResidual-Unconstrained-PPO,0,58,241664,0.19971808791160583,0.00311279296875,0.0,0.0,0.0,0.0,0.0,0.2516035926352851,0.22315572028321762,1.140182418187357,0.2512128775660034,1.0612115492801153,0.0003907150692816427,0.04524585918856975,0.07897086890724155,0.4621734958680179,-1.099948763847351,1.7498999899951742,2432,0,0,1664,0
ReferenceResidual-Unconstrained-PPO,0,59,245760,0.22156476974487305,0.05987548828125,0.0,0.0,0.0,0.0,0.0,0.4657267947663427,0.28960255772224,1.6066364941484697,0.4759130062299569,1.5282498850221788,-0.010186211463614155,0.045542447181499496,0.07838660912629106,0.46770254688227786,-1.1011676788330078,2.6994744032621383,0,760,0,3336,0
ReferenceResidual-Unconstrained-PPO,0,60,249856,0.2227630913257599,0.013671875,0.0,0.0163430143147707,0.0,0.0,0.0,0.34629090812070273,0.28224124061523015,1.4729077386487153,0.3487255073400757,1.3780378045244048,-0.0024345992193729443,0.043943192775256254,0.09486993412431066,0.46667701550664986,-1.0969812870025635,1.094661007076502,0,4096,0,0,0
ReferenceResidual-Unconstrained-PPO,0,61,253952,0.18537285923957825,0.01934814453125,0.0,0.0019428122323006392,0.0,0.0,0.0,0.4139918056407159,0.30400764014936255,1.7890393519079237,0.4200746292149786,1.74596204314382,-0.006082823574262651,0.04410180654078385,0.04307730876410337,0.47643056451596644,-1.096489429473877,1.880749161541462,0,144,3952,0,0
ReferenceResidual-Unconstrained-PPO,0,62,258048,0.189164400100708,0.01885986328125,0.0,0.005776010919362307,0.0,0.0,0.0,0.3363231092981267,0.2792425227801375,1.460218949749266,0.3399022373162398,1.3935109898852465,-0.0035791280181130553,0.04453445406164968,0.06670795986401937,0.47958702340098747,-1.1074106693267822,1.1862768745049834,3048,0,1048,0,0
ReferenceResidual-Unconstrained-PPO,0,63,262144,0.20723553001880646,0.00018310546875,0.0,0.0,0.0,0.0,0.0,0.3126877206002331,0.25762903051897573,1.072556200848422,0.31433713955806386,1.0466847428419577,-0.0016494189578306648,0.04482110939922867,0.025871458006464187,0.4630696327754784,-1.1060408353805542,1.834300729027018,1952,0,0,2144,0
ReferenceResidual-Unconstrained-PPO,0,64,266240,0.22822396457195282,0.04083251953125,0.0,0.0,0.0,0.0,0.0,0.38915102670048046,0.27417917168200656,1.308063182108223,0.39186606353183967,1.2362825672856907,-0.002715036831359165,0.044511181652968336,0.0717806148225322,0.4786761822899429,-1.1089833974838257,2.379159523546696,0,0,0,2856,1240
ReferenceResidual-Unconstrained-PPO,0,65,270336,0.19534644484519958,0.26513671875,0.00017299054889008403,0.030694348737597466,0.0,0.0,0.0,0.539290790806878,0.30677788145142476,2.41955450893252,0.5436121663007558,2.295596679624542,-0.004321375493877737,0.03856298016735809,0.1239578293079781,0.4688240446671386,-1.1002850532531738,4.263257659971714,0,336,0,0,3760
ReferenceResidual-Unconstrained-PPO,0,66,274432,0.23048585653305054,0.0,0.0,0.0,0.0,0.0,0.0,0.3239276341273362,0.26649582344371503,1.3579511451340929,0.31975013697175203,1.1591394756217455,0.00417749715558423,0.04609787428842258,0.1988116695123472,0.4645185422115888,-1.1081445217132568,0.3243684994056821,0,4096,0,0,0
ReferenceResidual-Unconstrained-PPO,0,67,278528,0.20204761624336243,0.16607666015625,0.0,0.0018680851208046079,0.0,0.0,0.0,0.4470021747083941,0.3123874580864381,1.885227071485205,0.4511231135577156,1.746982875353106,-0.004120938849321424,0.04277443440436543,0.1382441961320989,0.4796343116002463,-1.1027112007141113,2.1848393622785807,0,568,0,0,3528
