method,scenario,seed,throughput_mbps,embb_throughput_mbps,urllc_throughput_mbps,center_embb_throughput_mbps,edge_embb_throughput_mbps,min_embb_throughput_mbps,min_embb_satisfaction_ratio,mean_embb_satisfaction_ratio,latency_violation,rate_deficit_cost,rate_violation_fraction,rate_violation,drop_ratio,packet_deadline_miss_ratio,worst_urllc_deadline_miss_ratio,urllc_delay_p50_ms,urllc_delay_p95_ms,urllc_delay_p99_ms,jain_fairness,avg_prb_embb,avg_prb_urllc,avg_safety_reserved_prbs,safety_activation_fraction,safety_cap_hit_fraction,observed_urllc_packets,inference_us,avg_urllc_class_share,avg_embb_sla_weight,avg_reference_urllc_share,avg_reference_embb_weight,avg_delta_rho,avg_delta_beta,std_urllc_class_share,std_delta_rho,std_delta_beta,lambda_lat,lambda_rate,lambda_drop
EDF,nominal_hetero,3,7.873,2.9640880000000003,4.908912,2.8694128,0.09467519999999999,0.0078336,0.006528,0.20051205892255894,0.0016749999485909939,0.7638972401618958,0.9551166666666668,0.9551166666666668,0.508162353324944,0.00762133975130365,0.012089810017271158,2.0,4.0,6.0,0.5799495615028176,4.9714,101.0286,0.0,0.0,0.0,17451,7.5,,,,,,,,,,,,
EDF,load_surge,3,8.263637600000001,3.4524247999999997,4.8112128,3.2534704,0.19895440000000003,0.0207816,0.017318,0.23804645791245793,0.0015249999705702066,0.727202832698822,0.9600333333333334,0.9600333333333334,0.5523741416981277,0.003324002799160252,0.004954823666569514,2.0,4.0,6.0,0.579995619399543,5.8724,100.1276,0.0,0.0,0.0,17148,7.6,,,,,,,,,,,,
EDF,edge_fade,3,6.867863200000001,1.9219024000000002,4.9459608,1.8396640000000002,0.0822384,0.0,0.0,0.13133310830527498,0.0970500037074089,0.7755116820335388,0.9559166666666666,0.9559166666666666,0.5594596632800303,0.166752415251815,0.23052035589107575,3.0,13.0,26.0,0.5894217552090667,3.1588,102.8412,0.0,0.0,0.0,17493,7.5,,,,,,,,,,,,
EDF,bursty_urllc,3,9.255391200000002,1.1771544,8.0782368,1.1434696,0.0336848,0.0,0.0,0.0797300022446689,0.14592500030994415,0.8507742285728455,0.9601,0.9601,0.5161052732618523,0.2729118532521179,0.33367020380663637,3.0,20.0,40.0,0.4900310641857923,1.9716,104.0284,0.0,0.0,0.0,28566,7.6,,,,,,,,,,,,
EDF,mixed_dynamic,3,8.086716800000001,1.5760855999999999,6.510631200000001,1.5214839999999998,0.0546016,0.0,0.0,0.10598309259259259,0.09697499871253967,0.8108267188072205,0.9601,0.9601,0.581192029644715,0.17309521750410792,0.20080912100036777,3.0,19.0,39.0,0.5389927911425199,2.65,103.35,0.0,0.0,0.0,23126,7.5,,,,,,,,,,,,
EDF,hotspot_unseen,3,7.5316160000000005,1.490976,6.04064,1.4548056,0.036170400000000005,0.0078336,0.006528,0.10006063468013465,0.17122499644756317,0.8201591968536377,0.9601,0.9601,0.5863752095490279,0.26418052256532065,0.3694874851013111,3.0,50.54999999999927,90.0,0.4995876444325094,2.5122,103.4878,0.0,0.0,0.0,21050,7.5,,,,,,,,,,,,
EDF,tight_sla,3,7.910930400000001,2.9806904,4.9302399999999995,2.928368,0.052322400000000005,0.0078336,0.006528,0.1990199354657688,0.0142000000923872,0.7763581275939941,0.9363333333333332,0.9363333333333332,0.5098807633771314,0.04502248278217315,0.07250178869544478,2.0,5.0,8.0,0.5731008746457339,4.8442,101.1558,0.0,0.0,0.0,17569,7.5,,,,,,,,,,,,
EDF,nominal_hetero,4,8.129064,3.1455504000000003,4.9835136,3.0652056,0.0803448,0.0050880000000000005,0.004711111111111111,0.20919784287317622,0.0011249999515712261,0.7506566643714905,0.9253166666666666,0.9253166666666666,0.4971452079660208,0.0037994782805943063,0.005058572949946752,2.0,4.0,6.0,0.5410521738899902,5.1092,100.8908,0.0,0.0,0.0,17634,7.5,,,,,,,,,,,,
EDF,load_surge,4,7.8668104,2.9314904,4.93532,2.8747896,0.056700799999999996,0.0,0.0,0.19771799270482604,0.0012250000145286322,0.7766348719596863,0.9601,0.9601,0.5715032079263941,0.0038340486409155937,0.008410428931875526,2.0,4.0,6.0,0.6140747152184105,4.8336,101.1664,0.0,0.0,0.0,17475,7.5,,,,,,,,,,,,
EDF,edge_fade,4,6.8237144,1.8930136,4.9307008,1.8726616,0.020352000000000002,0.0,0.0,0.12565922053872053,0.09367500245571136,0.8079019784927368,0.9586666666666666,0.9586666666666666,0.5613201914933642,0.16279867383102778,0.2071809801067443,3.0,13.0,28.0,0.5770372758088959,3.0634,102.9366,0.0,0.0,0.0,17494,7.5,,,,,,,,,,,,
